clustid,db,recnum,nclust
1,829,1321,2
1,709,6,2
1214894,829,1335,2
1214894,709,18,2
1220174,829,1336,2
1220174,709,19,2
1425734,709,23,3
1425734,829,1340,3
1425734,709,794,3
4078734,709,36,2
4078734,829,1353,2
9321315,829,1483,2
9321315,709,161,2
9842013,829,2083,2
9842013,709,755,2
9353229,829,1503,2
9353229,709,181,2
9841267,829,2081,2
9841267,709,753,2
5368794,829,1362,4
5368794,709,46,4
5368794,829,1363,4
5368794,709,47,4
9247844,829,1428,3
9247844,829,1378,3
9253646,709,112,3
9253646,829,1427,3
9253646,829,1429,3
9484614,829,1570,2
9484614,709,246,2
9599257,829,1702,2
9599257,709,370,2
9772681,709,626,2
9772681,829,1957,2
9850083,829,2105,2
9850083,709,777,2
