clustid,db,recnum,nclust
1,829,1321,2
1,709,6,2
1214894,829,1335,2
1214894,709,18,2
1220174,829,1336,2
1220174,709,19,2
1425734,709,23,3
1425734,829,1340,3
1425734,709,794,3
1712454,829,1342,2
1712454,709,25,2
1930359,829,1343,2
1930359,709,26,2
4078734,709,36,2
4078734,829,1353,2
4613514,829,1356,2
4613514,709,40,2
5368794,829,1362,4
5368794,709,46,4
5368794,829,1363,4
5368794,709,47,4
7605414,829,1374,2
7605414,709,58,2
7886214,709,61,3
7886214,829,1377,3
7886214,709,60,3
9099828,709,76,2
9099828,829,1393,2
9111877,829,1398,2
9111877,709,82,2
9114302,709,83,2
9114302,829,1399,2
9221679,829,1414,2
9221679,709,98,2
9228115,829,1417,2
9228115,709,101,2
9243413,829,1424,3
9243413,709,108,3
9243413,829,3108,3
9247844,829,1428,3
9247844,829,1378,3
9247844,709,111,3
9253646,709,112,3
9253646,829,1427,3
9253646,829,1429,3
9268442,829,1455,2
9268442,709,138,2
9279805,709,145,2
9279805,829,1463,2
9279941,829,1464,2
9279941,709,146,2
9283081,829,1468,2
9283081,709,147,2
9285713,829,1470,2
9285713,709,149,2
9297756,829,1473,2
9297756,709,150,2
9304663,709,1796,3
9304663,829,1475,3
9304663,709,153,3
9321315,829,1483,2
9321315,709,161,2
9322717,829,1484,3
9322717,709,162,3
9322717,829,1485,3
9338327,829,1496,2
9338327,709,174,2
9353229,829,1503,2
9353229,709,181,2
9357031,709,184,2
9357031,829,1506,2
9363261,829,1509,3
9363261,709,185,3
9363261,709,62,3
9365988,829,1511,2
9365988,709,187,2
9402420,829,1513,2
9402420,709,189,2
9404723,829,1514,2
9404723,709,190,2
9422903,829,1521,2
9422903,709,197,2
9423497,829,1524,2
9423497,709,200,2
9423512,829,1525,3
9423512,709,201,3
9423512,709,3905,3
9432380,829,1531,2
9432380,709,206,2
9434610,829,1534,2
9434610,709,209,2
9436485,829,1537,2
9436485,709,212,2
9442245,709,216,3
9442245,709,215,3
9442245,829,1541,3
9449461,829,1545,2
9449461,709,221,2
9450109,829,1325,3
9450109,829,1546,3
9450109,709,222,3
9454432,709,4279,4
9454432,829,1549,4
9454432,709,2738,4
9454432,829,5851,4
9463295,709,229,3
9463295,829,1553,3
9463295,709,3,3
9470281,709,233,2
9470281,829,1557,2
9471278,829,1560,2
9471278,709,236,2
9484614,829,1570,2
9484614,709,246,2
9488121,829,1577,2
9488121,709,252,2
9496817,829,1584,2
9496817,709,259,2
9496824,829,1585,2
9496824,709,260,2
9503642,829,1593,2
9503642,709,268,2
9507129,829,1596,2
9507129,709,271,2
9508034,829,1601,2
9508034,709,276,2
9508232,829,1602,2
9508232,709,277,2
9508689,709,278,2
9508689,829,1603,2
9512777,829,1608,2
9512777,709,284,2
9517838,829,1616,2
9517838,709,292,2
9520006,829,1618,2
9520006,709,294,2
9520261,829,1619,3
9520261,709,295,3
9520261,829,1620,3
9522871,829,1622,2
9522871,709,296,2
9530492,709,301,2
9530492,829,1627,2
9532095,829,1628,3
9532095,709,302,3
9532095,829,1639,3
9553594,829,1642,3
9553594,709,267,3
9553594,709,313,3
9560745,829,1648,2
9560745,709,318,2
9562441,709,320,2
9562441,829,1651,2
9565691,829,1656,2
9565691,709,325,2
9571541,829,1663,2
9571541,709,332,2
9574382,829,1669,2
9574382,709,338,2
9579666,829,1676,2
9579666,709,344,2
9582576,829,1685,2
9582576,709,353,2
9587990,829,1697,2
9587990,709,365,2
9591692,829,1699,2
9591692,709,367,2
9599257,829,1702,2
9599257,709,370,2
9605106,829,1708,2
9605106,709,375,2
9605871,709,378,2
9605871,829,1712,2
9608310,829,1717,2
9608310,709,383,2
9618140,829,1725,2
9618140,709,391,2
9620088,829,1726,2
9620088,709,392,2
9621189,829,1728,2
9621189,709,394,2
9636127,829,1746,2
9636127,709,412,2
9640217,829,1755,2
9640217,709,421,2
9641494,829,1759,2
9641494,709,425,2
9645187,829,1760,2
9645187,709,426,2
9656980,829,1768,2
9656980,709,435,2
9661382,709,437,2
9661382,829,1769,2
9662728,829,1771,2
9662728,709,440,2
9663847,829,1772,2
9663847,709,441,2
9664346,829,1773,2
9664346,709,442,2
9665391,709,436,2
9665391,829,1710,2
9665547,709,792,3
9665547,829,1776,3
9665547,709,445,3
9670757,709,4276,2
9670757,829,5860,2
9673958,829,1790,2
9673958,709,459,2
9674340,829,1791,2
9674340,709,460,2
9675333,829,1792,2
9675333,709,461,2
9675962,709,464,2
9675962,829,1795,2
9683660,829,1808,2
9683660,709,477,2
9697731,829,1820,2
9697731,709,489,2
9698825,829,1823,2
9698825,709,491,2
9698865,829,1824,2
9698865,709,492,2
9699339,829,1826,3
9699339,709,494,3
9699339,709,793,3
9707598,709,515,2
9707598,829,1846,2
9708438,829,1848,2
9708438,709,517,2
9710830,829,1329,4
9710830,829,1853,4
9710830,709,522,4
9710830,709,530,4
9711804,829,1855,2
9711804,709,524,2
9712579,709,526,2
9712579,829,1857,2
9713578,829,5859,2
9713578,829,1858,2
9713839,829,1860,3
9713839,709,304,3
9713839,709,528,3
9715557,829,1862,2
9715557,709,531,2
